🏎  Subscribers — Cleaned & Transformed,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
SUB0084,2024-02-18 00:00:00,2024-02,Pit Lane,9.99,UAE,35,35-44,Organic,Yes,2024-07-23 00:00:00,Technical Issues,5.1,4,50.95,9,Promoter,No
SUB0085,2024-08-31 00:00:00,2024-08,Paddock Club,39.99,Europe,28,25-34,Paid Ad,Yes,2024-10-10 00:00:00,No Time,1.3,0,51.99,8,Passive,No
SUB0086,2024-11-04 00:00:00,2024-11,Paddock Club,39.99,UAE,32,25-34,Social Media,No,,Not Churned,1.9,0,75.98,8,Passive,No
SUB0087,2023-09-25 00:00:00,2023-09,Pit Lane,9.99,USA,49,45-54,Social Media,Yes,2024-10-25 00:00:00,Found Alternative,13,12,129.87,7,Passive,No
SUB0088,2023-09-02 00:00:00,2023-09,Podium,19.99,USA,37,35-44,Organic,No,,Not Churned,16,15,319.84,7,Passive,No
SUB0089,2024-10-22 00:00:00,2024-10,Pit Lane,9.99,Europe,30,25-34,Social Media,Yes,2024-12-11 00:00:00,Too Expensive,1.6,0,15.98,8,Passive,No
SUB0090,2023-01-10 00:00:00,2023-01,Podium,19.99,Europe,18,18-24,Paid Ad,No,,Not Churned,23.7,23,473.76,6,Detractor,No
SUB0091,2023-04-13 00:00:00,2023-04,Podium,19.99,UAE,18,18-24,Social Media,Yes,2023-12-17 00:00:00,Technical Issues,8.1,7,161.92,7,Passive,No
SUB0092,2023-09-29 00:00:00,2023-09,Podium,19.99,USA,20,18-24,Paid Ad,Yes,2024-04-24 00:00:00,Too Expensive,6.8,5,135.93,10,Promoter,No
SUB0093,2023-09-08 00:00:00,2023-09,Paddock Club,39.99,Asia,30,25-34,Paid Ad,No,,Not Churned,15.8,15,631.84,7,Passive,No
SUB0094,2024-07-10 00:00:00,2024-07,Podium,19.99,Latin America,18,18-24,Paid Ad,No,,Not Churned,5.7,4,113.94,9,Promoter,No
SUB0095,2024-10-31 00:00:00,2024-10,Paddock Club,39.99,Asia,18,18-24,Social Media,No,,Not Churned,2,1,79.98,6,Detractor,No
SUB0096,2024-07-21 00:00:00,2024-07,Pit Lane,9.99,UAE,31,25-34,Social Media,Yes,2024-09-15 00:00:00,Lack of Content,1.8,0,17.98,6,Detractor,No
SUB0097,2023-09-28 00:00:00,2023-09,Podium,19.99,Middle East,28,25-34,Social Media,Yes,2023-12-21 00:00:00,Technical Issues,2.8,1,55.97,4,Detractor,No
SUB0098,2023-06-09 00:00:00,2023-06,Pit Lane,9.99,Latin America,36,35-44,Organic,Yes,2024-02-09 00:00:00,Found Alternative,8,7,79.92,4,Detractor,No
SUB0099,2023-07-28 00:00:00,2023-07,Podium,19.99,Europe,32,25-34,Paid Ad,No,,Not Churned,17.1,16,341.83,10,Promoter,No
SUB0100,2024-06-01 00:00:00,2024-06,Podium,19.99,USA,47,45-54,Social Media,No,,Not Churned,7,6,139.93,10,Promoter,No
SUB0101,2023-02-22 00:00:00,2023-02,Paddock Club,39.99,Europe,42,35-44,Paid Ad,Yes,2024-05-30 00:00:00,Found Alternative,15.2,14,607.85,9,Promoter,No
SUB0102,2023-02-15 00:00:00,2023-02,Pit Lane,9.99,Europe,39,35-44,Paid Ad,Yes,2023-07-28 00:00:00,Found Alternative,5.4,4,53.95,3,Detractor,No
SUB0103,2023-06-15 00:00:00,2023-06,Pit Lane,9.99,Europe,32,25-34,Social Media,No,,Not Churned,18.6,17,185.81,2,Detractor,No
SUB0104,2024-03-13 00:00:00,2024-03,Podium,19.99,Europe,18,18-24,Organic,No,,Not Churned,9.6,8,191.9,7,Passive,No
SUB0105,2023-06-02 00:00:00,2023-06,Pit Lane,9.99,Latin America,39,35-44,Referral,No,,Not Churned,19,18,189.81,3,Detractor,No
SUB0106,2024-08-19 00:00:00,2024-08,Pit Lane,9.99,UAE,33,25-34,Paid Ad,No,,Not Churned,4.4,3,43.96,4,Detractor,No
SUB0107,2023-02-12 00:00:00,2023-02,Pit Lane,9.99,Europe,47,45-54,Social Media,Yes,2023-04-23 00:00:00,Found Alternative,2.3,1,22.98,5,Detractor,No
SUB0108,2023-08-04 00:00:00,2023-08,Pit Lane,9.99,Europe,26,25-34,Paid Ad,No,,Not Churned,16.9,16,168.83,5,Detractor,No
SUB0109,2023-12-29 00:00:00,2023-12,Pit Lane,9.99,UAE,19,18-24,Paid Ad,No,,Not Churned,12.1,11,120.88,6,Detractor,No
SUB0110,2024-02-21 00:00:00,2024-02,Pit Lane,9.99,USA,25,25-34,Organic,No,,Not Churned,10.3,9,102.9,6,Detractor,No
SUB0111,2023-08-31 00:00:00,2023-08,Paddock Club,39.99,Middle East,37,35-44,Paid Ad,No,,Not Churned,16,15,639.84,6,Detractor,No
SUB0112,2023-07-01 00:00:00,2023-07,Podium,19.99,Europe,28,25-34,Paid Ad,No,,Not Churned,18,17,359.82,3,Detractor,Yes
SUB0113,2023-12-07 00:00:00,2023-12,Podium,19.99,Europe,37,35-44,Referral,No,,Not Churned,12.8,12,255.87,5,Detractor,No
SUB0114,2024-11-16 00:00:00,2024-11,Paddock Club,39.99,USA,29,25-34,Organic,No,,Not Churned,1.5,0,59.98,6,Detractor,No
SUB0115,2023-10-01 00:00:00,2023-10,Podium,19.99,Europe,29,25-34,Paid Ad,Yes,2024-10-24 00:00:00,Too Expensive,12.8,11,255.87,7,Passive,No
SUB0116,2024-01-27 00:00:00,2024-01,Pit Lane,9.99,Europe,44,35-44,Referral,No,,Not Churned,11.1,10,110.89,8,Passive,No
SUB0117,2023-08-16 00:00:00,2023-08,Podium,19.99,USA,49,45-54,Paid Ad,Yes,2024-12-28 00:00:00,No Time,16.4,15,327.84,9,Promoter,No
SUB0118,2023-12-25 00:00:00,2023-12,Podium,19.99,Europe,23,18-24,Paid Ad,Yes,2024-05-19 00:00:00,Lack of Content,4.8,3,95.95,4,Detractor,No
SUB0119,2023-01-25 00:00:00,2023-01,Podium,19.99,USA,31,25-34,Referral,No,,Not Churned,23.2,22,463.77,7,Passive,No
SUB0120,2023-10-13 00:00:00,2023-10,Pit Lane,9.99,UAE,25,25-34,Paid Ad,No,,Not Churned,14.6,13,145.85,5,Detractor,No
SUB0121,2023-10-13 00:00:00,2023-10,Pit Lane,9.99,Europe,18,18-24,Paid Ad,Yes,2024-07-29 00:00:00,No Time,9.5,8,94.9,7,Passive,No
SUB0122,2024-11-26 00:00:00,2024-11,Paddock Club,39.99,UAE,26,25-34,Referral,No,,Not Churned,1.1,0,43.99,9,Promoter,No
SUB0123,2023-01-29 00:00:00,2023-01,Pit Lane,9.99,USA,47,45-54,Social Media,Yes,2023-11-22 00:00:00,Lack of Content,9.8,8,97.9,9,Promoter,No
SUB0124,2024-08-17 00:00:00,2024-08,Pit Lane,9.99,Asia,24,18-24,Paid Ad,No,,Not Churned,4.5,3,44.96,3,Detractor,No
SUB0125,2023-04-22 00:00:00,2023-04,Podium,19.99,Europe,18,18-24,Paid Ad,No,,Not Churned,20.3,19,405.8,8,Passive,No
SUB0126,2023-11-18 00:00:00,2023-11,Podium,19.99,Europe,25,25-34,Referral,No,,Not Churned,13.4,12,267.87,7,Passive,No
SUB0127,2023-04-29 00:00:00,2023-04,Pit Lane,9.99,Europe,26,25-34,Paid Ad,Yes,2023-12-09 00:00:00,Found Alternative,7.4,6,73.93,7,Passive,No
SUB0128,2023-02-15 00:00:00,2023-02,Podium,19.99,Asia,18,18-24,Organic,No,,Not Churned,22.5,21,449.78,5,Detractor,Yes
SUB0129,2024-07-05 00:00:00,2024-07,Pit Lane,9.99,Middle East,32,25-34,Social Media,No,,Not Churned,5.9,4,58.94,6,Detractor,No
SUB0130,2024-11-17 00:00:00,2024-11,Pit Lane,9.99,UAE,40,35-44,Organic,Yes,2024-12-23 00:00:00,Too Expensive,1.2,0,11.99,6,Detractor,No
SUB0131,2024-11-11 00:00:00,2024-11,Pit Lane,9.99,Asia,28,25-34,Paid Ad,No,,Not Churned,1.6,0,15.98,5,Detractor,No
SUB0132,2024-11-10 00:00:00,2024-11,Podium,19.99,USA,37,35-44,Organic,No,,Not Churned,1.7,0,33.98,6,Detractor,No
SUB0133,2023-11-04 00:00:00,2023-11,Pit Lane,9.99,Asia,25,25-34,Referral,No,,Not Churned,13.9,13,138.86,2,Detractor,No
SUB0134,2023-12-01 00:00:00,2023-12,Pit Lane,9.99,Asia,33,25-34,Organic,No,,Not Churned,13,12,129.87,6,Detractor,No
SUB0135,2023-05-11 00:00:00,2023-05,Pit Lane,9.99,USA,23,18-24,Social Media,Yes,2024-07-02 00:00:00,Lack of Content,13.7,12,136.86,7,Passive,No
SUB0136,2024-09-22 00:00:00,2024-09,Paddock Club,39.99,USA,33,25-34,Referral,No,,Not Churned,3.3,2,131.97,7,Passive,No
SUB0137,2023-01-01 00:00:00,2023-01,Podium,19.99,USA,27,25-34,Social Media,Yes,2023-09-03 00:00:00,No Time,8,7,159.92,7,Passive,No
SUB0138,2024-08-16 00:00:00,2024-08,Pit Lane,9.99,Europe,31,25-34,Organic,No,,Not Churned,4.5,3,44.96,5,Detractor,No
SUB0139,2024-03-28 00:00:00,2024-03,Podium,19.99,Asia,41,35-44,Referral,No,,Not Churned,9.1,8,181.91,6,Detractor,No
SUB0140,2024-04-29 00:00:00,2024-04,Pit Lane,9.99,Europe,37,35-44,Organic,No,,Not Churned,8.1,7,80.92,8,Passive,No
SUB0141,2023-06-23 00:00:00,2023-06,Podium,19.99,USA,22,18-24,Paid Ad,No,,Not Churned,18.3,17,365.82,6,Detractor,No
SUB0142,2024-11-10 00:00:00,2024-11,Paddock Club,39.99,USA,36,35-44,Referral,No,,Not Churned,1.7,0,67.98,7,Passive,No
SUB0143,2023-08-29 00:00:00,2023-08,Pit Lane,9.99,USA,29,25-34,Organic,No,,Not Churned,16.1,15,160.84,6,Detractor,No
SUB0144,2023-07-23 00:00:00,2023-07,Paddock Club,39.99,Middle East,34,25-34,Organic,Yes,2023-09-14 00:00:00,Lack of Content,1.7,0,67.98,8,Passive,No
SUB0145,2024-05-01 00:00:00,2024-05,Podium,19.99,Europe,20,18-24,Organic,No,,Not Churned,8,7,159.92,10,Promoter,No
SUB0146,2024-04-11 00:00:00,2024-04,Podium,19.99,Middle East,23,18-24,Social Media,No,,Not Churned,8.7,7,173.91,6,Detractor,No
SUB0147,2023-07-19 00:00:00,2023-07,Paddock Club,39.99,Asia,51,45-54,Paid Ad,No,,Not Churned,17.4,16,695.83,8,Passive,No
SUB0148,2024-02-14 00:00:00,2024-02,Pit Lane,9.99,UAE,22,18-24,Referral,Yes,2024-03-17 00:00:00,Too Expensive,1.1,0,10.99,3,Detractor,No
SUB0149,2024-03-11 00:00:00,2024-03,Podium,19.99,Middle East,41,35-44,Referral,No,,Not Churned,9.7,8,193.9,5,Detractor,No
SUB0150,2024-06-14 00:00:00,2024-06,Pit Lane,9.99,Europe,29,25-34,Referral,No,,Not Churned,6.6,5,65.93,6,Detractor,No
SUB0151,2023-05-05 00:00:00,2023-05,Pit Lane,9.99,Europe,39,35-44,Social Media,No,,Not Churned,19.9,19,198.8,3,Detractor,No
SUB0152,2024-11-14 00:00:00,2024-11,Podium,19.99,UAE,28,25-34,Organic,No,,Not Churned,1.5,0,29.98,5,Detractor,No
SUB0153,2023-11-21 00:00:00,2023-11,Pit Lane,9.99,Latin America,25,25-34,Organic,No,,Not Churned,13.3,12,132.87,6,Detractor,No
SUB0154,2024-09-19 00:00:00,2024-09,Podium,19.99,Europe,26,25-34,Social Media,No,,Not Churned,3.4,2,67.97,6,Detractor,No
SUB0155,2024-03-12 00:00:00,2024-03,Pit Lane,9.99,USA,42,35-44,Organic,No,,Not Churned,9.7,8,96.9,1,Detractor,No
SUB0156,2023-06-12 00:00:00,2023-06,Pit Lane,9.99,Europe,28,25-34,Organic,No,,Not Churned,18.7,17,186.81,5,Detractor,No
SUB0157,2023-09-23 00:00:00,2023-09,Paddock Club,39.99,Middle East,37,35-44,Referral,No,,Not Churned,15.3,14,611.85,5,Detractor,No
SUB0158,2023-10-11 00:00:00,2023-10,Pit Lane,9.99,UAE,38,35-44,Paid Ad,No,,Not Churned,14.7,13,146.85,8,Passive,No
SUB0159,2024-10-03 00:00:00,2024-10,Pit Lane,9.99,Europe,31,25-34,Paid Ad,Yes,2024-11-30 00:00:00,Too Expensive,1.9,0,18.98,6,Detractor,No
SUB0160,2023-10-20 00:00:00,2023-10,Pit Lane,9.99,USA,29,25-34,Paid Ad,Yes,2024-05-08 00:00:00,Found Alternative,6.6,5,65.93,5,Detractor,No
SUB0161,2024-07-07 00:00:00,2024-07,Podium,19.99,Asia,44,35-44,Social Media,Yes,2024-09-13 00:00:00,Lack of Content,2.2,1,43.98,5,Detractor,No
SUB0162,2024-01-28 00:00:00,2024-01,Pit Lane,9.99,Europe,33,25-34,Social Media,No,,Not Churned,11.1,10,110.89,4,Detractor,No
SUB0163,2023-03-07 00:00:00,2023-03,Pit Lane,9.99,Asia,21,18-24,Social Media,No,,Not Churned,21.8,21,217.78,5,Detractor,No
SUB0164,2024-04-22 00:00:00,2024-04,Pit Lane,9.99,USA,20,18-24,Paid Ad,Yes,2024-07-13 00:00:00,No Time,2.7,1,26.97,9,Promoter,No
SUB0165,2024-02-03 00:00:00,2024-02,Podium,19.99,Europe,38,35-44,Paid Ad,No,,Not Churned,10.9,10,217.89,7,Passive,No
SUB0166,2023-01-21 00:00:00,2023-01,Podium,19.99,Europe,33,25-34,Paid Ad,No,,Not Churned,23.3,22,465.77,4,Detractor,No
SUB0167,2024-01-25 00:00:00,2024-01,Podium,19.99,Europe,20,18-24,Paid Ad,No,,Not Churned,11.2,10,223.89,7,Passive,No
